TARİX,"XÜSUSİ ÇƏKİ
(kq/m3)","TƏZYİQLƏR
FƏRQİ (kPa)",TƏZYİQ (kPa),"TEMPERATUR
(C)","SAATLIQ
SƏRF(min m3)",SƏRF (min m3)
01-01-2018 01:00,0.73703,6.1342,593.740,10.513,4.494,107.860
01-01-2018 02:00,0.73703,5.8290,606.206,10.330,4.430,106.316
01-01-2018 03:00,0.73703,5.9273,581.200,9.987,4.374,104.987
01-01-2018 04:00,0.73703,6.0022,561.711,10.138,4.325,103.795
01-01-2018 05:00,0.73703,5.6887,586.612,10.315,4.304,103.287
01-01-2018 06:00,0.73703,5.5103,604.014,10.400,4.300,103.188
01-01-2018 07:00,0.73703,6.2567,601.667,10.333,4.569,109.663
01-01-2018 08:00,0.73703,6.6950,581.476,10.213,4.646,111.508
01-01-2018 09:00,0.73703,7.1662,572.501,10.321,4.766,114.389
01-01-2018 10:00,0.73703,7.7154,563.336,10.470,4.903,117.672
01-01-2018 11:00,0.73703,7.6271,576.762,10.902,4.930,118.323
01-01-2018 12:00,0.73693,7.6293,579.241,11.041,4.941,118.578
01-01-2018 13:00,0.73686,7.7582,570.822,10.993,4.946,118.696
01-01-2018 14:00,0.73686,7.8810,561.608,10.869,4.944,118.658
01-01-2018 15:00,0.73686,7.9384,559.512,10.818,4.953,118.864
01-01-2018 16:00,0.73686,7.9831,561.250,10.755,4.975,119.398
01-01-2018 17:00,0.73686,7.8715,566.574,10.705,4.965,119.157
01-01-2018 18:00,0.73686,9.4281,554.919,10.548,5.372,128.931
01-01-2018 19:00,0.73686,9.3987,548.719,10.517,5.334,128.018
01-01-2018 20:00,0.73686,9.3205,555.319,10.396,5.346,128.304
01-01-2018 21:00,0.73686,9.1837,564.674,10.449,5.352,128.451
01-01-2018 22:00,0.73686,8.8149,575.391,10.499,5.295,127.071
01-01-2018 23:00,0.73686,8.5720,579.566,10.515,5.241,125.780
02-01-2018 00:00,0.73686,6.1475,589.274,10.384,4.483,107.585
02-01-2018 01:00,0.73686,5.8409,608.253,10.249,4.443,106.637
02-01-2018 02:00,0.73686,5.7732,594.111,10.017,4.367,104.799
02-01-2018 03:00,0.73686,5.9084,570.304,9.421,4.330,103.932
02-01-2018 04:00,0.73686,6.1465,544.108,9.136,4.314,103.540
02-01-2018 05:00,0.73686,6.1222,546.071,9.289,4.312,103.497
02-01-2018 06:00,0.73686,6.1000,551.758,9.119,4.328,103.881
02-01-2018 07:00,0.73686,7.1362,562.782,9.038,4.727,113.457
02-01-2018 08:00,0.73686,7.1571,571.542,9.014,4.772,114.527
02-01-2018 09:00,0.73686,7.5593,563.085,9.018,4.865,116.759
