TARİX,"XÜSUSİ ÇƏKİ
(kq/m3)","TƏZYİQLƏR
FƏRQİ (kPa)",TƏZYİQ (kPa),"TEMPERATUR
(C)","SAATLIQ
SƏRF(min m3)",SƏRF (min m3)
01-01-2018 01:00,0.72770,11.6130,467.133,1.532,24.643,591.423
01-01-2018 02:00,0.72770,10.7885,471.009,1.465,23.894,573.468
01-01-2018 03:00,0.72770,9.6533,476.584,1.164,22.772,546.537
01-01-2018 04:00,0.72770,9.2118,478.957,0.981,22.318,535.643
01-01-2018 05:00,0.72770,8.9707,480.033,1.027,22.051,529.217
01-01-2018 06:00,0.72770,10.3839,473.110,0.879,23.433,562.404
01-01-2018 07:00,0.72770,12.2329,463.929,0.896,25.182,604.364
01-01-2018 08:00,0.72770,13.0767,479.639,1.042,26.527,636.656
01-01-2018 09:00,0.72770,15.2177,474.567,1.239,28.387,681.297
01-01-2018 10:00,0.72770,17.9178,466.014,2.048,30.430,730.324
01-01-2018 11:00,0.72770,18.9282,462.618,2.787,31.097,746.330
01-01-2018 12:00,0.72814,19.4325,460.924,2.914,31.418,754.042
01-01-2018 13:00,0.72831,19.5022,460.603,3.265,31.443,754.643
01-01-2018 14:00,0.72831,18.9545,462.400,3.552,31.055,745.321
01-01-2018 15:00,0.72831,18.4713,463.872,3.450,30.724,737.371
01-01-2018 16:00,0.72831,17.9194,465.293,3.442,30.323,727.746
01-01-2018 17:00,0.72831,17.8024,465.512,3.026,30.255,726.116
01-01-2018 18:00,0.72831,17.9712,465.335,2.784,30.409,729.828
01-01-2018 19:00,0.72831,18.7415,463.381,2.593,30.972,743.335
01-01-2018 20:00,0.72831,19.1930,462.200,2.578,31.295,751.091
01-01-2018 21:00,0.72831,19.3311,461.806,2.833,31.375,752.995
01-01-2018 22:00,0.72831,19.0237,460.766,3.021,31.080,745.918
01-01-2018 23:00,0.72831,16.4765,468.769,3.085,29.235,701.629
02-01-2018 00:00,0.72831,14.5410,459.774,3.116,27.187,652.500
