TARİX,"XÜSUSİ ÇƏKİ
(kq/m3)","TƏZYİQLƏR
FƏRQİ (kPa)",TƏZYİQ (kPa),"TEMPERATUR
(C)","SAATLIQ
SƏRF(min m3)",SƏRF (min m3)
01-01-2018 01:00,0.73703,4.5154,590.507,7.045,3.861,92.661
01-01-2018 02:00,0.73703,4.8027,603.093,6.637,4.022,96.524
01-01-2018 03:00,0.73703,5.4004,578.328,5.411,4.188,100.508
01-01-2018 04:00,0.73703,5.5762,557.783,4.920,4.180,100.323
01-01-2018 05:00,0.73703,4.7163,582.557,5.033,3.931,94.338
01-01-2018 06:00,0.73703,5.4494,599.984,4.888,4.284,102.827
01-01-2018 07:00,0.73703,6.7668,597.755,5.020,4.766,114.372
01-01-2018 08:00,0.73703,7.6708,577.560,4.622,4.989,119.726
01-01-2018 09:00,0.73703,6.8879,568.440,3.910,4.695,112.674
01-01-2018 10:00,0.73703,6.8795,559.332,4.165,4.637,111.282
01-01-2018 11:00,0.73703,3.3260,574.024,8.350,3.256,78.135
01-01-2018 12:00,0.73695,3.3175,577.328,10.954,3.227,77.458
01-01-2018 13:00,0.73686,5.4691,568.581,11.575,4.129,99.104
01-01-2018 14:00,0.73686,5.1434,559.371,11.247,3.976,95.426
01-01-2018 15:00,0.73686,5.1438,557.121,10.459,3.974,95.376
01-01-2018 16:00,0.73686,4.5037,558.787,9.912,3.728,89.465
01-01-2018 17:00,0.73686,4.1808,564.180,9.224,3.612,86.689
01-01-2018 18:00,0.73686,5.5966,552.342,7.849,4.143,99.431
01-01-2018 19:00,0.73686,6.4848,545.547,7.308,4.436,106.454
01-01-2018 20:00,0.73686,6.1066,551.885,7.135,4.330,103.925
01-01-2018 21:00,0.73686,5.1931,561.506,7.052,4.033,96.785
01-01-2018 22:00,0.73686,4.5984,572.451,7.100,3.833,91.986
01-01-2018 23:00,0.73686,5.2491,576.616,7.139,4.114,98.731
02-01-2018 00:00,0.73686,4.0264,585.713,7.286,3.620,86.874
02-01-2018 01:00,0.73686,4.2614,605.540,7.201,3.787,90.891
02-01-2018 02:00,0.73686,5.1065,591.080,6.847,4.105,98.527
02-01-2018 03:00,0.73686,6.2557,567.327,6.359,4.449,106.772
02-01-2018 04:00,0.73686,7.3355,540.432,5.757,4.709,113.009
02-01-2018 05:00,0.73686,7.3831,541.608,5.566,4.730,113.515
02-01-2018 06:00,0.73686,8.3833,546.914,5.543,5.063,121.513
02-01-2018 07:00,0.73686,8.9754,557.899,5.447,5.291,126.982
02-01-2018 08:00,0.73686,9.1362,566.648,5.526,5.380,129.118
02-01-2018 09:00,0.73686,9.4949,558.600,5.746,5.439,130.539
02-01-2018 10:00,0.73686,9.6294,546.974,5.605,5.421,130.110
02-01-2018 11:00,0.73686,9.9806,529.806,5.096,5.432,130.370
02-01-2018 12:00,0.73814,9.7101,537.675,4.882,5.400,129.591
02-01-2018 13:00,0.73896,10.1252,529.602,4.705,5.469,131.250
02-01-2018 14:00,0.73896,10.5656,519.371,4.375,5.532,132.778
02-01-2018 15:00,0.73896,10.5604,517.909,4.609,5.520,132.475
02-01-2018 16:00,0.73896,10.2853,516.967,4.870,5.441,130.574
02-01-2018 17:00,0.73896,10.1434,522.114,5.053,5.428,130.278
02-01-2018 18:00,0.73896,11.8025,507.757,4.769,5.771,138.500
02-01-2018 19:00,0.73896,12.2510,496.648,4.553,5.815,139.555
02-01-2018 20:00,0.73896,12.4193,497.043,4.197,5.860,140.639
02-01-2018 21:00,0.73896,12.1885,501.070,3.925,5.833,139.988
02-01-2018 22:00,0.73896,12.4892,498.043,3.754,5.887,141.298
02-01-2018 23:00,0.73896,12.4448,494.827,3.546,5.860,140.629
03-01-2018 00:00,0.73896,11.5697,504.336,3.489,5.704,136.904
03-01-2018 01:00,0.73896,10.2161,537.080,3.151,5.547,133.126
03-01-2018 02:00,0.73896,10.3856,549.771,2.578,5.664,135.947
