hour,Anomalies,Total,Anomaly_Rate
0,185,6562,2.8192624199939043
1,70,7247,0.9659169311439217
2,47,7248,0.6484547461368654
3,38,6818,0.5573481959518921
4,39,7246,0.5382279878553685
5,49,7150,0.6853146853146853
6,42,7241,0.5800303825438475
7,48,6803,0.705571071586065
8,54,7225,0.7474048442906575
9,49,7234,0.6773569256289743
10,50,6616,0.7557436517533254
11,61,7090,0.8603667136812413
12,95,7248,1.3107064017660044
13,117,7248,1.6142384105960264
14,107,7249,1.4760656642295489
15,88,7236,1.2161415146489774
16,80,7219,1.1081867294639147
17,67,7210,0.9292649098474342
18,55,6982,0.7877399026067029
19,61,7249,0.8414953786729203
20,48,6460,0.7430340557275541
21,56,7224,0.7751937984496124
22,73,7249,1.007035453165954
23,124,7235,1.713890808569454
